name,type
10%、20%、30%脂肪乳注射液,西药
18种氨基酸注射液,西药
23—价肺炎球菌多糖疫苗,西药
23价肺炎球菌多糖疫苗注射液,西药
64排螺旋CT检查,诊疗技术及设备（治疗）
654—2,西药
707,中成药
999,西药
A—V综合征,疾病
A组链球菌感染,疾病
BP素,西药
b型流感嗜血杆菌结合疫苗,西药
B型流感嗜血杆菌结合菌苗注射液,西药
B族链球菌感染,疾病
B链球菌群感染,疾病
CT平扫,诊疗技术及设备（治疗）
CT血管成像,诊疗技术及设备（治疗）
ETINOLINE爱纳灵,西药
goodpasture综合征,疾病
Goodpasture综合征,疾病
HCO3—重吸收试验,诊疗技术及设备（治疗）
HIV相关呼吸道感染,疾病
HUGHES—STOVIN综合征,疾病
Inj.FDP,西药
I型超敏反应性疾病,疾病
Kartagener综合征,疾病
L—门冬氨酸氨氯地平片,西药
Marie—Bamberger综合征,疾病
Nezelof综合征,疾病
Optochin敏感试验,诊疗技术及设备（治疗）
Pancoast综合征,疾病
poems综合征,疾病
Q热,疾病
Q热肺炎,疾病
S20140002,西药
Tab.SMZco,西药
T淋巴细胞亚群检查,诊疗技术及设备（治疗）
Wegner肉芽肿伴发的葡萄膜炎,疾病
X—连锁无丙种球蛋白血症,疾病
X线碘油造影,诊疗技术及设备（治疗）
α—1抗胰蛋白酶缺乏症,疾病
α硫辛酸注射液,西药
ω3鱼油脂肪乳注射液,西药
ω—3鱼油中/长链脂肪乳注射液,西药
一君,西药
一品,西药
一孚晴,西药
一平苏,西药
一捻金胶囊,中成药
一氧化碳中毒,疾病
一清软胶囊,中成药
一点红,中草药
一点血,中草药
一秒用力呼气量,诊疗技术及设备（治疗）
一般摄片检查,诊疗技术及设备（治疗）
丁丙诺啡透皮贴剂,西药
丁二酸洛沙平胶囊,西药
丁悦,西药
丁林美,西药
丁溴东莨菪碱注射液,西药
丁溴东莨菪碱胶囊,西药
丁立安,西药
丁舒,西药
丁苯酞氯化钠注射液,西药
丁茄,中草药
丁贺,西药
丁那,西药
丁香蓼,中草药
七价肺炎球菌结合疫苗,西药
七叶苷水解试验,诊疗技术及设备（治疗）
七味沙参汤散,中成药
七氟烷,西药
万他维,西药
万仪,西药
万佶,西药
万信,西药
万可松,西药
万复洛,西药
万夫洛,西药
万悦,西药
万托林,西药
万敏新,西药
万普定,西药
万汶,西药
万祥,西药
万祺,西药
万络,西药
万联福宁,西药
万艾可,西药
万苏平,西药
万赛维,西药
万辅,西药
万迅,西药
万适宁,西药
万通,中成药
三七,中草药
三七粉,中成药
三七血伤宁胶囊,中成药
三九君必沙,西药
三代显,西药
三倍可利,西药
三协唯,西药
三号蛇胆川贝片,中成药
三味止咳片,中成药
