name,type,description,source
腹膜炎,疾病,"腹膜炎（Peritonitis）是腹膜的炎症，通常由细菌或真菌感染引起，是腹腔感染的一种。根据病因和发生背景，腹膜炎可分为多种类型，包括原发性腹膜炎（也称为自发性细菌性腹膜炎，指在没有内脏破损的情况下，细菌由胃肠道移位所致）、继发性腹膜炎（如由腹腔脏器穿孔、阑尾炎、憩室炎等引起）和第三型腹膜炎（通常指社区获得性或免疫功能正常患者的腹膜炎）。此外，腹膜炎也是长期非卧床腹膜透析患者的常见并发症，称为腹膜透析相关腹膜炎（PDAP），可由细菌或念珠菌引起。

腹膜炎的病原体多样，包括肠杆菌目细菌、厌氧菌等细菌，以及念珠菌等真菌。治疗通常需要使用广谱抗菌药物，如氨基糖苷类和β-内酰胺类抗生素，对于真菌性",guideline
腹腔脓肿,疾病,"""卡泊芬净的适应症之一。""<SEP>""腹腔内脓液积聚，可由多种病原体引起。""<SEP>""腹腔脓肿是狭义腹腔感染的一种，也是复杂腹腔感染的表现之一。""<SEP>""腹腔脓肿是腹腔内脓液积聚形成的包裹性感染灶，是腹腔感染的常见类型，常需引流治疗。""<SEP>""腹腔脓肿是腹腔感染的一种表现形式，可通过超声或CT检查发现。""",guideline
原发性腹膜炎,其他治疗,"""内脏是原发性腹膜炎定义中不存在破损的部位。""<SEP>""原发性腹膜炎是腹膜炎的一种类型，指在没有内脏破损的情况下，细菌由胃肠道移位所致。""<SEP>""细菌是导致原发性腹膜炎的病原体，由胃肠道移位所致。""<SEP>""胃肠道是细菌移位导致原发性腹膜炎的来源。""",guideline
继发性腹膜炎,疾病,"""溃疡穿孔是导致继发性腹膜炎的病因之一。""<SEP>""继发性腹膜炎是腹膜炎的一种类型，指由各种原因所致的消化道穿孔、损伤或坏死等对腹腔造成的直接污染。""<SEP>""肿瘤所致的肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""继发性腹膜炎是腹腔开放术后并发念珠菌性腹膜炎可能转化的一种疾病状态。""<SEP>""继发性腹膜炎是由腹腔内脏器感染引起的腹膜炎症性疾病。""<SEP>""继发性腹膜炎通常由腹腔脏器穿孔（如下消化道穿孔）或感染引起，涉及需氧菌和厌氧菌的混合感染。""",guideline
第三型腹膜炎,其他治疗,"""第三型腹膜炎是腹膜炎的一种类型，指原发性或继发性腹膜炎经适当治疗后仍持续存在或复发的腹膜炎。""<SEP>""菌群改变是导致第三型腹膜炎的原因之一。""",guideline
复杂腹腔感染,其他治疗,"""一种腹腔内感染性疾病，常需抗菌药物治疗及病灶控制，特殊人群需调整抗菌药物剂量。""<SEP>""后腹膜是复杂腹腔感染可能累及的部位。""<SEP>""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""复杂腹腔感染是腹腔感染的一种类型，指感染由原发空腔脏器扩展至腹腔，包括肠系膜、后腹膜、其他腹部器官及腹壁。""<SEP>""多器官功能衰竭是复杂腹腔感染可能合并的严重并发症。""<SEP>""替加环素是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""氨基糖苷类是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""磷霉素是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""耐药菌是导致复杂腹腔感染的可能病原体，但复杂腹腔",guideline
非复杂腹腔感染,其他治疗,"""器官是腹腔感染累及的部位，非复杂腹腔感染局限于单个器官内。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""非复杂腹腔感染是腹腔感染的一种类型，指感染局限于单个器官内，未累及周围腹膜。""",guideline
脓毒症,疾病,"""脓毒症是重症感染的一种，常由CRGNB等病原体引起，治疗中需关注抗菌药物的血药浓度监测。""<SEP>脓毒症（Sepsis）是一种由感染引起的、危及生命的全身性炎症反应综合征，是机体对感染反应失调所导致的严重器官功能障碍。它可作为多种感染的严重并发症出现，例如复杂腹腔感染、铜绿假单胞菌肺炎、急性呼吸道感染（如肺炎）、艰难梭菌感染、卡介苗感染、新生儿播散性疱疹感染等。在粒细胞缺乏患者中，草绿色链球菌群也是其诱发风险之一。此外，脓毒症是术后感染和糖尿病足感染（DFI）患者中的一种严重并发症，后者可通过多种评分系统进行风险预测。

脓毒症的临床进程严重，可进一步进展为感染性休克和多器官功能衰竭，是重","medical_kg,guideline"
脓毒性休克,疾病,"""老年重症肺炎的伴随症状，需使用糖皮质激素。""<SEP>""脓毒性休克是复杂腹腔感染可能合并的严重并发症。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症，常见于弥散性继发性和第三级腹膜炎。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症，常见于弥漫性继发性和第三级腹膜炎。""<SEP>""脓毒性休克是ESBL-E感染的严重并发症，需要联合用药治疗方案""<SEP>""脓毒性休克是一种严重的感染并发症，需要联合使用抗菌药物治疗，是急诊ESBL-E感染的严重表现之一。""<SEP>""脓毒性休克是严重感染引","medical_kg,guideline"
多器官功能衰竭,症状,"""严重感染的最终结果。""<SEP>""多器官功能衰竭是IPN的严重并发症，表现为多个器官系统功能障碍。""<SEP>""多器官功能衰竭是复杂腹腔感染可能合并的严重并发症。""<SEP>""多器官功能衰竭是指多个器官同时或相继发生功能衰竭，是下呼吸道感染的严重并发症，需通过器官功能保护预防。""<SEP>""多器官功能衰竭是严重感染（如脓毒症）的并发症，指两个或以上器官系统功能障碍，死亡率极高。""<SEP>""指两个或两个以上器官同时或序贯发生功能障碍。""<SEP>""多器官功能衰竭是重症肺结核的严重并发症，检索词中包含此术语。""<SEP>""多器官功能衰竭是重症肺结核的严重并发症，检索词中包含此术语。""",guideline
急性胆囊炎,疾病,"""急性胆囊炎是导致腹腔感染的常见腹部疾病之一。""<SEP>""急性胆囊炎是胆囊的急性炎症，常伴有胆道梗阻，可继发胆源性脓毒症。""",guideline
术后并发症,其他治疗,"""术后并发症（如吻合口漏）是导致医院获得性腹腔感染的常见病因之一。""",guideline
创伤,流行病学,"""一种疾病类型，可能需要使用胸部和腹部引流。""<SEP>""创伤是导致腹腔感染的常见腹部疾病之一。""<SEP>""导致身体损伤的事件，荷兰的一项创伤研究评估了头孢曲松的预防效果。""","medical_kg,guideline"
肠扭转致肠坏死,其他治疗,"""肠扭转致肠坏死是导致继发性腹膜炎的病因之一。""",guideline
肿瘤,疾病,"""CT检查可评估肿瘤位置（高位、低位），影响吻合口漏风险评估。""<SEP>""内镜检查可评估肿瘤位置及吻合口情况。""<SEP>""外科手术治疗需根据肿瘤大小、位置设计个体化治疗方案。""<SEP>""消化道造影可评估肿瘤位置及吻合口情况。""<SEP>""肿瘤所致的肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""肿瘤是肺部非感染性疾病，需与肺炎进行鉴别诊断。""<SEP>""侵袭性曲霉病的高危因素之一，常见于无血液系统恶性肿瘤的患者。""<SEP>""肿瘤患者接受化疗后免疫功能受损，易感染分枝杆菌。""<SEP>""肿瘤是急诊患者的基础疾病之一，也是ESBL-E感染的危险因素，特别是恶性血液病相比于其他实体","medical_kg,guideline"
肠梗阻,疾病,"""Intestinal obstruction is a contraindication for enteral nutrition, requiring careful assessment before initiating nutritional support in CDI patients.""<SEP>""Intestinal obstruction, a complication of CDI where loperamide use is contraindicated.""<SEP>""肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""肠梗阻是肠内营养的禁忌证之一。""<SE","medical_kg,guideline"
外伤,流行病学,"""外伤是亚急性或慢性皮肤毛霉病的诱因之一，感染好发于面部和四肢暴露部位。""<SEP>""外伤是导致继发性腹膜炎的病因之一。""<SEP>""外伤是细菌性脑膜炎和脑脓肿的常见诱因之一。""<SEP>""毛霉病的高危因素之一，伤口暴露于环境真菌可导致感染。""<SEP>""毛霉目真菌的孢子可通过外伤途径感染人体。""","medical_kg,guideline"
疏松结缔组织炎,其他治疗,"""疏松结缔组织炎是复杂腹腔感染的表现之一。""",guideline
感染,科室,"**Infection (感染)** refers to the condition where pathogens—such as bacteria (including drug-resistant strains like CRE, CRKP, CRAB, and CRO Gram-negative bacteria), viruses, fungi, mycobacteria, and Mucorales fungi—invade and multiply in body tissues. This pathological process involves the interacti","medical_kg,guideline"
意识状态改变,症状,"""意识状态改变是qSOFA评分的三项指标之一，用于拟诊重症感染。""<SEP>""意识状态改变是老年肺炎患者的非典型症状，表现为精神状态异常。""<SEP>""意识状态改变是脑膜炎和脑炎的常见症状，需进行鉴别诊断。""",guideline
收缩压降低,其他治疗,"""收缩压降低（≤100 mmHg）是qSOFA评分的三项指标之一，用于拟诊重症感染。""",guideline
呼吸频率增快,其他治疗,"""呼吸频率增快（≥22次/分）是qSOFA评分的三项指标之一，用于拟诊重症感染。""","medical_kg,guideline"
器官功能障碍,症状,"""一种临床表现，缓解时可停止抗菌药物治疗。""<SEP>""器官功能障碍是重症感染的标志，由感染和SOFA评分≥2分共同判断。""<SEP>""器官功能障碍缓解时可停止抗菌药物治疗。""<SEP>""器官功能异常，是脓毒症的严重后果。""",guideline
全身各系统异常状况,其他治疗,"""全身各系统异常状况是腹腔感染导致的全身性病理改变，需要纠正。""",guideline
菌群改变,其他治疗,"""菌群改变是导致第三型腹膜炎的原因之一。""",guideline
细菌,病原体,细菌（Bacteria）是一类原核微生物，作为微organisms，广泛存在于口鼻腔、人工气道及下呼吸道等环境中。它们是引起多种感染性疾病的常见病原体，包括肺炎链球菌、肺炎支原体等呼吸道病原体，以及肠杆菌科细菌、铜绿假单胞菌、鲍曼不动杆菌、革兰阴性杆菌、革兰阳性球菌、非发酵菌、葡萄球菌、肠球菌、嗜杆菌、棒杆菌、消化链球菌等。细菌可通过不同途径（如导管、呼吸道）侵入机体，当数量超过防御能力时可发展为感染。在创面定植后，细菌可引起感染，是导致糖尿病足感染（DFI）的主要病原体，需要根据抗生素敏感性选择治疗。细菌也是腹腔感染、原发性腹膜炎（由胃肠道移位所致）、终末期肝病合并感染、细菌性心包炎及血流感,"medical_kg,guideline"
