head,head_type,relation,tail,tail_type,source,description,weight
腹膜炎,疾病,治疗,内镜下修补,其他治疗,guideline,"""内镜下修补可避免穿孔进展为腹膜炎。""",16.0
腹膜炎,疾病,经验性治疗,肠杆菌目细菌,病原体,guideline,"""肠杆菌目细菌是腹膜炎的常见病原体，经验性治疗需覆盖此类细菌。""",9.0
腹膜炎,疾病,治疗,甲硝唑,其他治疗,guideline,"""甲硝唑用于腹膜炎的治疗，以覆盖厌氧菌。""",16.0
腹膜炎,疾病,推荐用药,哌拉西林/他唑巴坦,其他治疗,guideline,"""哌拉西林/他唑巴坦是治疗腹膜炎的常用药物，覆盖革兰氏阴性杆菌和厌氧菌。""",8.0
腹膜炎,疾病,发病机制,多形核白细胞（pmn）,部位,guideline,"""多形核白细胞（PMN）吞噬细菌参与腹膜炎的免疫反应。""",686.0
腹膜炎,疾病,治疗,引流,手术治疗,guideline,"""腹腔脓肿的关键治疗是充分引流。""",882.0
腹膜炎,疾病,治疗,抗菌药物,西药,guideline,"""抗菌药物是腹膜炎治疗的辅助手段。""",686.0
腹膜炎,疾病,发病部位,腹腔,其他治疗,guideline,"""腹膜炎发生在腹腔。""<SEP>""腹膜炎是腹腔感染。""",989.0
腹膜炎,疾病,相关指南,指南建议,指南建议,guideline,"""指南建议推荐腹膜炎的治疗方案，包括药物选择和疗程。""<SEP>""指南建议提供了腹膜炎治疗的推荐方案和疗程。""<SEP>""文中引用的指南建议为腹膜炎的治疗提供了依据。""<SEP>""腹膜炎的治疗指南是核心内容。""<SEP>""腹膜炎的治疗有明确的指南建议。""",1086.0
腹膜炎,疾病,预后,预后,流行病学,guideline,"""腹膜炎的预后取决于治疗是否及时有效。""<SEP>""预后评估腹膜炎的严重性和治疗反应，影响治疗决策和抗生素选择。""",693.0
腹膜炎,疾病,并发症,休克,症状,guideline,"""严重腹膜炎患者可能合并休克。""",784.0
腹膜炎,疾病,临床表现,发热,症状,guideline,"""腹膜炎患者可能伴有发热。""",784.0
腹膜炎,疾病,临床表现,腹痛,症状,guideline,"""腹痛是腹膜炎的常见症状。""",882.0
腹膜炎,疾病,注意事项,肝病,疾病,guideline,"""肝病患者在治疗腹膜炎时需调整用药。""",686.0
腹膜炎,疾病,易感人群,腹膜透析,其他治疗,guideline,"""腹(""entity""<SEP>""腹膜透析患者易发生腹膜炎。""<SEP>""腹膜炎是腹膜透析的常见并发症。""<SEP>""腹膜透析可能导致腹膜炎。""",903.0
腹膜炎,疾病,病因,细菌,病原体,guideline,"""腹膜炎常由细菌引起。""",9.0
腹膜炎,疾病,分类,深部器官组织间隙感染,疾病,guideline,"""腹膜炎是肝移植深部器官组织间隙感染的一种类型。""",8.0
腹膜炎,疾病,治疗,胆汁引流,其他治疗,guideline,"""重症腹膜炎患者需确保充分的胆汁引流。""",16.0
腹膜炎,疾病,并发症,阑尾炎,疾病,guideline,"""腹膜炎是阑尾炎的严重并发症，需要急诊手术和抗生素治疗如美罗培南。""",9.0
腹膜炎,疾病,并发症,憩室炎,疾病,guideline,"""腹膜炎是憩室炎的严重并发症，需要外科治疗和抗生素治疗如美罗培南。""",9.0
腹膜炎,疾病,治疗,外科治疗,手术治疗,guideline,"""外科治疗是腹膜炎的重要治疗手段，尤其对于中、重度患者。""",9.0
腹膜炎,疾病,治疗,急诊手术,手术治疗,guideline,"""急诊手术用于治疗腹膜炎，尤其在阑尾炎或憩室炎并发腹膜炎时。""",9.0
腹膜炎,疾病,并发症,长期非卧床腹膜透,其他治疗,guideline,"""腹膜炎是长期非卧床腹膜透析的常见并发症。""",9.0
腹膜炎,疾病,临床表现,腹透液混浊,其他治疗,guideline,"""腹透液混浊是腹膜炎的典型表现。""",9.0
腹膜炎,疾病,经验性治疗,万古霉素,其他治疗,guideline,"""万古霉素是经验性治疗腹膜炎时针对MRSA的抗生素。""",8.0
