:START_ID,:END_ID,:TYPE,relation_name,description,weight:float,source,confidence:float
e_bc924755936a,e_214510423547,不良反应,不良反应,,1.0,medical_kg,1.0
e_2136c676122f,e_b5fd325c0daa,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_de331554edad,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_0d57b5967ece,英文名称,英文名称,,1.0,medical_kg,1.0
e_8629eaa938bb,e_27b3a766cc7c,药品分类,药品分类,,1.0,medical_kg,1.0
e_8629eaa938bb,e_66066699daef,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_2b450e7f8df0,商品名,商品名,,1.0,medical_kg,1.0
e_8629eaa938bb,e_6ffd32a058a3,英文名称,英文名称,,1.0,medical_kg,1.0
e_8629eaa938bb,e_58cd1cbbc261,英文名称,英文名称,,1.0,medical_kg,1.0
e_8629eaa938bb,e_f3da59104a62,适应症,适应症,,1.0,medical_kg,1.0
e_8629eaa938bb,e_741739935649,药品监管分级,药品监管分级,,1.0,medical_kg,1.0
e_8629eaa938bb,e_7534533ba2a9,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_ea7e612d83c8,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_ad5396cb335a,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_fc3e418a1d48,商品名,商品名,,1.0,medical_kg,1.0
e_8629eaa938bb,e_6e708a32742c,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_73bd92f3f1bd,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_55cc77a8bbe6,适应症,适应症,,1.0,medical_kg,1.0
e_8629eaa938bb,e_45be97c4cf59,药品分类,药品分类,,1.0,medical_kg,1.0
e_8629eaa938bb,e_8eba6156a26f,分类,分类,,1.0,medical_kg,1.0
e_8629eaa938bb,e_c5af45aa45c1,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_18acf4bba716,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_a0b763d871b9,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_60ac0930beb5,商品名,商品名,,1.0,medical_kg,1.0
e_8629eaa938bb,e_1ef2588693c5,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_0f1cb05516be,适应症,适应症,,1.0,medical_kg,1.0
e_8629eaa938bb,e_a406d158e7ef,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_5b160f000070,成份,成份,,1.0,medical_kg,1.0
e_8629eaa938bb,e_32dcb884ffa2,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_dbe7c6177563,不良反应,不良反应,,1.0,medical_kg,1.0
e_8629eaa938bb,e_a9f14e2e4be8,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_55cc77a8bbe6,适应症,适应症,,1.0,medical_kg,1.0
e_80833843a336,e_4a41d9917e45,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_45be97c4cf59,药品分类,药品分类,,1.0,medical_kg,1.0
e_80833843a336,e_73bd92f3f1bd,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_a0b763d871b9,成份,成份,,1.0,medical_kg,1.0
e_80833843a336,e_741739935649,药品监管分级,药品监管分级,,1.0,medical_kg,1.0
e_80833843a336,e_60ac0930beb5,商品名,商品名,,1.0,medical_kg,1.0
e_80833843a336,e_0f1cb05516be,适应症,适应症,,1.0,medical_kg,1.0
e_80833843a336,e_1e94ebc72faa,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_39fa7478eb01,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_a7120d5fd476,成份,成份,,1.0,medical_kg,1.0
e_80833843a336,e_c8f67fa32571,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_dbe7c6177563,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_a406d158e7ef,不良反应,不良反应,,1.0,medical_kg,1.0
e_80833843a336,e_32dcb884ffa2,不良反应,不良反应,,1.0,medical_kg,1.0
e_cc2a6a80e01d,e_02ac3ac59a56,临床表现,临床表现,,1.0,medical_kg,1.0
e_cc2a6a80e01d,e_a6620401be2a,相关疾病,相关疾病,,1.0,medical_kg,1.0
e_cc2a6a80e01d,e_095f6a0e6dc2,分类,分类,,1.0,medical_kg,1.0
e_f56d8183992b,e_8d21c8ad1349,成份,成份,,1.0,medical_kg,1.0
e_f56d8183992b,e_6e8671ad8c2d,分类,分类,,1.0,medical_kg,1.0
e_500e75a036dc,e_e0ed4e122087,分类,分类,,1.0,medical_kg,1.0
e_b706835de79a,e_f3da59104a62,适应症,适应症,,1.0,medical_kg,1.0
e_d74c270d6986,e_9da5552f7fc4,同义词,同义词,,1.0,medical_kg,1.0
e_c64b3b2ed47a,e_7611dfe7042e,发病部位,发病部位,,1.0,medical_kg,1.0
e_c64b3b2ed47a,e_80a1ceaa8e6c,同义词,同义词,,1.0,medical_kg,1.0
e_e8fafd43e318,e_b5fd325c0daa,不良反应,不良反应,,1.0,medical_kg,1.0
e_a627227d65b0,e_4a8768c23ca5,不良反应,不良反应,,1.0,medical_kg,1.0
e_a627227d65b0,e_0f1cb05516be,适应症,适应症,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_b37f5b57d097,不良反应,不良反应,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_27b3a766cc7c,药品分类,药品分类,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_8eba6156a26f,分类,分类,,1.0,medical_kg,1.0
e_613a4258ee8b,e_e52e1116a357,临床表现,临床表现,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_55cc77a8bbe6,适应症,适应症,,1.0,medical_kg,1.0
e_613a4258ee8b,e_73bd92f3f1bd,临床表现,临床表现,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_38c3e52fdd68,适应症,适应症,,1.0,medical_kg,1.0
e_a96b5bf3cca8,e_0f1cb05516be,适应症,适应症,,1.0,medical_kg,1.0
e_613a4258ee8b,e_e1a5f20696ac,临床表现,临床表现,,1.0,medical_kg,1.0
e_613a4258ee8b,e_976ca0a5c6dd,预防,预防,,1.0,medical_kg,1.0
e_613a4258ee8b,e_c1329d9210b6,高危因素,高危因素,,1.0,medical_kg,1.0
e_613a4258ee8b,e_3f1732651c5a,易感人群,易感人群,,1.0,medical_kg,1.0
e_613a4258ee8b,e_0f1cb05516be,相关疾病,相关疾病,,1.0,medical_kg,1.0
e_613a4258ee8b,e_146af7aea390,临床表现,临床表现,,1.0,medical_kg,1.0
e_613a4258ee8b,e_ae51a126bac8,治疗,治疗,,1.0,medical_kg,1.0
e_191ec9e344c3,e_c1d16dbddae2,病因,病因,,1.0,medical_kg,1.0
e_191ec9e344c3,e_73bd92f3f1bd,临床表现,临床表现,,1.0,medical_kg,1.0
e_191ec9e344c3,e_83cee46073d8,诊断依据,诊断依据,,1.0,medical_kg,1.0
e_191ec9e344c3,e_3f1732651c5a,易感人群,易感人群,,1.0,medical_kg,1.0
e_191ec9e344c3,e_7c0d50c8fded,临床表现,临床表现,,1.0,medical_kg,1.0
e_3be844e37584,e_095f6a0e6dc2,分类,分类,,1.0,medical_kg,1.0
e_5ece966fdb28,e_095f6a0e6dc2,分类,分类,,1.0,medical_kg,1.0
e_5ece966fdb28,e_8d4058fde3d2,临床表现,临床表现,,1.0,medical_kg,1.0
