name,type,description,source
1双量片,中成药,"""This appears to be a specific formulation or dosage form, possibly a double-strength tablet, mentioned in the context of TMP/SMX dosing. It is likely a commercial preparation of the drug.""",guideline
abrysvo,中成药,"""Abrysvo是呼吸道合胞病毒疫苗的一种，属于灭活疫苗、腺病毒载体疫苗、mRNA疫苗或重组亚单位疫苗之一。""",guideline
amphotec,中成药,"""Amphotec是L-AmB的一种商品名，即安浮特克。""",guideline
arexvy,中成药,"""Arexvy是呼吸道合胞病毒疫苗的一种，属于灭活疫苗、腺病毒载体疫苗、mRNA疫苗或重组亚单位疫苗之一。""",guideline
bcg vaccine,中成药,"""A vaccine for tuberculosis (TB) prevention, also used in some bladder cancer treatments.""",guideline
hib 疫苗,中成药,"""Hib 疫苗是一种用于预防b型流感嗜血杆菌感染的疫苗，可被四联疫苗或五联疫苗替代。""",guideline
mrna疫苗,中成药,"""mRNA疫苗是新型冠状病毒疫苗和呼吸道合胞病毒疫苗的一种类型。""",guideline
oxalospore tablet,中成药,"""Oxalospore tablet is a traditional Chinese medicine used for various conditions.""",guideline
sputolysin,中成药,"""Sputolysin是一种用于痰液液化的药物，有助于提高病原体检出率。""",guideline
zoster vaccine,中成药,"""Zoster vaccine (带状疱疹疫苗) prevents herpes zoster.""",guideline
中药制品,中成药,"""指以中药材为原料制成的中药制品。""",guideline
亚单位疫苗,中成药,"""亚单位疫苗是流行性感冒疫苗的一种，属于灭活疫苗。""",guideline
单位疫苗,中成药,"""单位疫苗是流行性感冒疫苗的一种。""",guideline
双量片,中成药,"""This appears to be a specific formulation or dosage form, possibly a double-strength tablet, mentioned in the context of TMP/SMX dosing. It is likely a commercial preparation of the drug.""",guideline
季节性流感疫苗,中成药,"""季节性流感疫苗是针对流感病毒的疫苗，建议在流感活动增加前接种。""",guideline
安必速(ambisome),中成药,"""安必速(AmBisome)是L-AmB的一种商品名，本共识中L-AmB的结构特点和剂量均特指安必速。""",guideline
安浮特克(amphotec),中成药,"""安浮特克(Amphotec)是L-AmB的一种商品名。""",guideline
或sputolysin等,中成药,"""或Sputolysin等表示Sputolysin是痰液液化药物之一。""",guideline
治疗性疫苗,中成药,"""Therapeutic vaccines for STIs (e.g., for HPV) are under development and may future impact management.""",guideline
甲硝唑阴道凝胶,中成药,"""甲硝唑阴道凝胶是一种局部用药制剂，用于治疗细菌性阴道炎。用法为1支置阴道qd×5d。""",guideline
疫苗配方,中成药,"""疫苗配方是指疫苗的组成成分，WHO建议制药商更新新冠病毒疫苗配方以应对JN．1变异株。""",guideline
