:ID,name,type,:LABEL,description,source
e_bc924755936a,102030脂肪乳注射液,西药,西药,nan,medical_kg
e_214510423547,呼吸急促,症状,症状,"""""呼吸急促是5-羟色胺综合征的临床表现之一。""""<SEP>""""呼吸急促是呼吸困难的一种表现，常见于肺炎患者。""""<SEP>""""呼吸急促是急性下呼吸道感染的症状。""""<SEP>""""急性呼吸道感染的主要症状之一，表现为呼吸频率加快，常见于下呼吸道感染或重症患者。""""<SEP>""""急性支气管炎可能出现呼吸急促。""""<SEP>""""急性支气管炎的严重症状之一。""""<SEP>""""呼吸急促是抗结核药不良反应或疾病的表现。""""<SEP>""""呼吸急促是肺炎综合征的典型症状之一。""""","medical_kg,guideline"
e_2136c676122f,18种氨基酸注射液,西药,西药,nan,medical_kg
e_b5fd325c0daa,胸闷,症状,症状,"""""急性支气管炎可能出现的症状之一。""""<SEP>""""急性支气管炎可能出现胸闷。""""","medical_kg,guideline"
e_8629eaa938bb,23价肺炎球菌多糖疫苗,西药,西药,"""""23价肺炎球菌多糖疫苗是一种用于2岁以上人群，特别是≥60岁易感人群、2~59岁慢性病、体弱、免疫功能低下人群的肺炎球菌疫苗。""""","medical_kg,guideline"
e_de331554edad,0.25%苯酚作防腐剂,药物,药物,nan,medical_kg
e_0d57b5967ece,23—valent pneumococcal polysaccharide vaccine,药物,药物,nan,medical_kg
e_27b3a766cc7c,乙类otc,其他治疗,其他治疗,nan,medical_kg
e_66066699daef,23价肺炎球菌多糖,药物,药物,nan,medical_kg
e_2b450e7f8df0,优博23,西药,西药,nan,medical_kg
e_6ffd32a058a3,pneumococcal vaccine polyvalent,药物,药物,nan,medical_kg
e_58cd1cbbc261,polysaccharide polyvalent pneumococcal vaccine,药物,药物,nan,medical_kg
e_f3da59104a62,呼吸道感染,疾病,疾病,"""""一种感染类型，检测靶标包括33种病原体。""""<SEP>""""呼吸道感染是一种全年均可发生的疾病，没有明显的季节倾向，但寒冷季节发病率更高，可能继发细菌感染。""""<SEP>""""呼吸道感染是发生在呼吸道的感染性疾病，多黏菌素雾化吸入是治疗耐药菌引起的呼吸道感染的有效方法。""""<SEP>""""呼吸道感染是终末期肝病合并感染的类型之一，包括细菌及真菌感染。""""<SEP>""""呼吸道感染是呼吸道的感染，位于呼吸道区域。""""<SEP>""""呼吸道感染是病原体引起的呼吸道感染性疾病。""""<SEP>""""呼吸道感染是指呼吸道（鼻、咽、喉、气管、支气管、肺）的感染。""""<SEP>""""呼吸道（包括上呼吸道和下呼吸道）的感染性疾病。""""<SEP>""""感染","medical_kg,guideline,llm_inferred"
e_741739935649,国家基本用药； 医保药品,其他治疗,其他治疗,nan,medical_kg
e_7534533ba2a9,寒战,症状,症状,"""""Chills are infusion-related adverse reactions associated with Amphotericin B formulations, with a lower incidence in patients receiving L-AmB compared to AmB-D and ABLC.""""<SEP>""""Chills, a common non-specific symptom of viral infections.""""<SEP>""""两性霉素B胆固醇硫酸酯复合物治疗中更常见的不良反应之一。""""<SEP>""""寒战是感染性疾病的常见症状，常伴随高热。""""<S","medical_kg,guideline,llm_inferred"
e_ea7e612d83c8,有：活性成份：纯化肺炎球菌荚膜多糖：1,药物,药物,nan,medical_kg
e_ad5396cb335a,氯化钠,药物,药物,nan,medical_kg
e_fc3e418a1d48,惠益康,西药,西药,nan,medical_kg
e_6e708a32742c,分离,药物,药物,"""""分离指从样本中分离出病原体，是培养的关键步骤。""""<SEP>""""获得四环素类药物的方法之一（如从天然产物中分离）。""""","medical_kg,guideline"
e_73bd92f3f1bd,发热,症状,症状,"Fever (发热) is a physiological response of the body to infection or inflammation and is considered a non-specific, systemic symptom. It is defined as an elevation in body temperature, typically as a single oral temperature ≥38.3°C (axillary ≥38.0°C), or an oral temperature ≥38.0°C (axillary ≥37.7°C) ","medical_kg,guideline,llm_inferred"
e_55cc77a8bbe6,感染,疾病,疾病,"**Infection (感染)** refers to the condition where pathogens—such as bacteria (including drug-resistant strains like CRE, CRKP, CRAB, and CRO Gram-negative bacteria), viruses, fungi, mycobacteria, and Mucorales fungi—invade and multiply in body tissues. This pathological process involves the interacti","medical_kg,guideline"
e_45be97c4cf59,甲类otc,其他治疗,其他治疗,nan,medical_kg
