name,name_raw,entity_type_unified,description
腹膜炎,腹膜炎,疾病,"腹膜炎（Peritonitis）是腹膜的炎症，通常由细菌或真菌感染引起，是腹腔感染的一种。根据病因和发生背景，腹膜炎可分为多种类型，包括原发性腹膜炎（也称为自发性细菌性腹膜炎，指在没有内脏破损的情况下，细菌由胃肠道移位所致）、继发性腹膜炎（如由腹腔脏器穿孔、阑尾炎、憩室炎等引起）和第三型腹膜炎（通常指社区获得性或免疫功能正常患者的腹膜炎）。此外，腹膜炎也是长期非卧床腹膜透析患者的常见并发症，称为腹膜透析相关腹膜炎（PDAP），可由细菌或念珠菌引起。

腹膜炎的病原体多样，包括肠杆菌目细菌、厌氧菌等细菌，以及念珠菌等真菌。治疗通常需要使用广谱抗菌药物，如氨基糖苷类和β-内酰胺类抗生素，对于真菌性腹膜炎（如念珠菌性腹膜炎）则需使用抗真菌药物，如氟康唑、卡泊芬净、米卡芬净或两性霉素B腹腔内给药。某些药物（如替考拉宁）有针对腹膜炎的特殊用法。在某些情况下，如继发性腹膜炎或腹腔脓肿，可能需要手术干预。对于腹膜透析相关腹膜炎，除药物治疗外，有时还需拔除透析导管。预防方面，万古霉素预防可显著降低腹膜透析导管植入术后腹膜炎的发生率。

腹膜炎也被视为深部器官组织间隙感染的一种类型，例如在肝移植患者中。"
腹腔脓肿,腹腔脓肿,疾病,"""卡泊芬净的适应症之一。""<SEP>""腹腔内脓液积聚，可由多种病原体引起。""<SEP>""腹腔脓肿是狭义腹腔感染的一种，也是复杂腹腔感染的表现之一。""<SEP>""腹腔脓肿是腹腔内脓液积聚形成的包裹性感染灶，是腹腔感染的常见类型，常需引流治疗。""<SEP>""腹腔脓肿是腹腔感染的一种表现形式，可通过超声或CT检查发现。"""
原发性腹膜炎,原发性腹膜炎,其他治疗,"""内脏是原发性腹膜炎定义中不存在破损的部位。""<SEP>""原发性腹膜炎是腹膜炎的一种类型，指在没有内脏破损的情况下，细菌由胃肠道移位所致。""<SEP>""细菌是导致原发性腹膜炎的病原体，由胃肠道移位所致。""<SEP>""胃肠道是细菌移位导致原发性腹膜炎的来源。"""
继发性腹膜炎,继发性腹膜炎,疾病,"""溃疡穿孔是导致继发性腹膜炎的病因之一。""<SEP>""继发性腹膜炎是腹膜炎的一种类型，指由各种原因所致的消化道穿孔、损伤或坏死等对腹腔造成的直接污染。""<SEP>""肿瘤所致的肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""继发性腹膜炎是腹腔开放术后并发念珠菌性腹膜炎可能转化的一种疾病状态。""<SEP>""继发性腹膜炎是由腹腔内脏器感染引起的腹膜炎症性疾病。""<SEP>""继发性腹膜炎通常由腹腔脏器穿孔（如下消化道穿孔）或感染引起，涉及需氧菌和厌氧菌的混合感染。"""
第三型腹膜炎,第三型腹膜炎,其他治疗,"""第三型腹膜炎是腹膜炎的一种类型，指原发性或继发性腹膜炎经适当治疗后仍持续存在或复发的腹膜炎。""<SEP>""菌群改变是导致第三型腹膜炎的原因之一。"""
复杂腹腔感染,复杂腹腔感染,其他治疗,"""一种腹腔内感染性疾病，常需抗菌药物治疗及病灶控制，特殊人群需调整抗菌药物剂量。""<SEP>""后腹膜是复杂腹腔感染可能累及的部位。""<SEP>""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""复杂腹腔感染是腹腔感染的一种类型，指感染由原发空腔脏器扩展至腹腔，包括肠系膜、后腹膜、其他腹部器官及腹壁。""<SEP>""多器官功能衰竭是复杂腹腔感染可能合并的严重并发症。""<SEP>""替加环素是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""氨基糖苷类是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""磷霉素是治疗复杂腹腔感染的抗菌药物之一。""<SEP>""耐药菌是导致复杂腹腔感染的可能病原体，但复杂腹腔感染不等同于耐药菌所致的院内感染。""<SEP>""肠系膜是复杂腹腔感染可能累及的部位。""<SEP>""脓毒性休克是复杂腹腔感染可能合并的严重并发症。""<SEP>""脓毒症是复杂腹腔感染可能合并的严重全身性反应。""<SEP>""腹壁是复杂腹腔感染可能累及的部位。""<SEP>""黏菌素是治疗复杂腹腔感染的抗菌药物之一。"""
非复杂腹腔感染,非复杂腹腔感染,其他治疗,"""器官是腹腔感染累及的部位，非复杂腹腔感染局限于单个器官内。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""非复杂腹腔感染是腹腔感染的一种类型，指感染局限于单个器官内，未累及周围腹膜。"""
脓毒症,脓毒症,疾病,"""脓毒症是重症感染的一种，常由CRGNB等病原体引起，治疗中需关注抗菌药物的血药浓度监测。""<SEP>脓毒症（Sepsis）是一种由感染引起的、危及生命的全身性炎症反应综合征，是机体对感染反应失调所导致的严重器官功能障碍。它可作为多种感染的严重并发症出现，例如复杂腹腔感染、铜绿假单胞菌肺炎、急性呼吸道感染（如肺炎）、艰难梭菌感染、卡介苗感染、新生儿播散性疱疹感染等。在粒细胞缺乏患者中，草绿色链球菌群也是其诱发风险之一。此外，脓毒症是术后感染和糖尿病足感染（DFI）患者中的一种严重并发症，后者可通过多种评分系统进行风险预测。

脓毒症的临床进程严重，可进一步进展为感染性休克和多器官功能衰竭，是重症感染的主要死亡原因。治疗上通常需要紧急干预，包括联合使用广谱抗生素，例如氨基糖苷类、β-内酰胺类、碳青霉烯类（尤其针对铜绿假单胞菌肺炎）。对于危重患者，多黏菌素B的治疗建议采用负荷剂量及较大的维持剂量。同时，替加环素的使用可能有助于降低由艰难梭菌感染引发的脓毒症发生率。除了抗感染治疗，尽早启动肠内营养支持也是脓毒症综合管理的重要组成部分。"
脓毒性休克,脓毒性休克,疾病,"""老年重症肺炎的伴随症状，需使用糖皮质激素。""<SEP>""脓毒性休克是复杂腹腔感染可能合并的严重并发症。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症，常见于弥散性继发性和第三级腹膜炎。""<SEP>""脓毒性休克是术后腹腔内感染（IAI）的一种严重并发症，常见于弥漫性继发性和第三级腹膜炎。""<SEP>""脓毒性休克是ESBL-E感染的严重并发症，需要联合用药治疗方案""<SEP>""脓毒性休克是一种严重的感染并发症，需要联合使用抗菌药物治疗，是急诊ESBL-E感染的严重表现之一。""<SEP>""脓毒性休克是严重感染引起的休克状态，可由ESBL-E血流感染继发。"""
多器官功能衰竭,多器官功能衰竭,症状,"""严重感染的最终结果。""<SEP>""多器官功能衰竭是IPN的严重并发症，表现为多个器官系统功能障碍。""<SEP>""多器官功能衰竭是复杂腹腔感染可能合并的严重并发症。""<SEP>""多器官功能衰竭是指多个器官同时或相继发生功能衰竭，是下呼吸道感染的严重并发症，需通过器官功能保护预防。""<SEP>""多器官功能衰竭是严重感染（如脓毒症）的并发症，指两个或以上器官系统功能障碍，死亡率极高。""<SEP>""指两个或两个以上器官同时或序贯发生功能障碍。""<SEP>""多器官功能衰竭是重症肺结核的严重并发症，检索词中包含此术语。""<SEP>""多器官功能衰竭是重症肺结核的严重并发症，检索词中包含此术语。"""
急性胆囊炎,急性胆囊炎,疾病,"""急性胆囊炎是导致腹腔感染的常见腹部疾病之一。""<SEP>""急性胆囊炎是胆囊的急性炎症，常伴有胆道梗阻，可继发胆源性脓毒症。"""
术后并发症,术后并发症,其他治疗,"""术后并发症（如吻合口漏）是导致医院获得性腹腔感染的常见病因之一。"""
创伤,创伤,流行病学,"""一种疾病类型，可能需要使用胸部和腹部引流。""<SEP>""创伤是导致腹腔感染的常见腹部疾病之一。""<SEP>""导致身体损伤的事件，荷兰的一项创伤研究评估了头孢曲松的预防效果。"""
肠扭转致肠坏死,肠扭转致肠坏死,其他治疗,"""肠扭转致肠坏死是导致继发性腹膜炎的病因之一。"""
肿瘤,肿瘤,疾病,"""CT检查可评估肿瘤位置（高位、低位），影响吻合口漏风险评估。""<SEP>""内镜检查可评估肿瘤位置及吻合口情况。""<SEP>""外科手术治疗需根据肿瘤大小、位置设计个体化治疗方案。""<SEP>""消化道造影可评估肿瘤位置及吻合口情况。""<SEP>""肿瘤所致的肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""肿瘤是肺部非感染性疾病，需与肺炎进行鉴别诊断。""<SEP>""侵袭性曲霉病的高危因素之一，常见于无血液系统恶性肿瘤的患者。""<SEP>""肿瘤患者接受化疗后免疫功能受损，易感染分枝杆菌。""<SEP>""肿瘤是急诊患者的基础疾病之一，也是ESBL-E感染的危险因素，特别是恶性血液病相比于其他实体肿瘤的比例更高。""<SEP>""Tumors, such as Kaposi's sarcoma and lymphoma, are increased in incidence due to HIV-induced immune deficiency.""<SEP>""肿瘤 (Tumors) are complications that can occur in AIDS patients."""
