head,head_type,relation,tail,tail_type,source,description,weight,confidence
102030脂肪乳注射液,西药,不良反应,呼吸急促,症状,medical_kg,,1.0,1.0
18种氨基酸注射液,西药,不良反应,胸闷,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,0.25%苯酚作防腐剂,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,英文名称,23—valent pneumococcal polysaccharide vaccine,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,药品分类,乙类otc,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,23价肺炎球菌多糖,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,商品名,优博23,西药,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,英文名称,pneumococcal vaccine polyvalent,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,英文名称,polysaccharide polyvalent pneumococcal vaccine,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,适应症,呼吸道感染,疾病,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,药品监管分级,国家基本用药； 医保药品,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,不良反应,寒战,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,有：活性成份：纯化肺炎球菌荚膜多糖：1,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,氯化钠,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,商品名,惠益康,西药,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,分离,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,不良反应,发热,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,适应症,感染,疾病,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,药品分类,甲类otc,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,分类,疫苗,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,磷,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,磷酸一钠,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,糖,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,商品名,纽莫法,西药,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,磷酸二钠,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
