graphml_entity,medical_kg_entity,match_type,confidence
泮库溴铵,泮库溴铵,exact,1.0
伊立替康,伊立替康,exact,1.0
利尿,利尿,exact,1.0
呼吸道梗阻,呼吸道梗阻,exact,1.0
洛美沙星,洛美沙星,exact,1.0
咽水肿,咽水肿,exact,1.0
代谢紊乱,代谢紊乱,exact,1.0
辅助检查,辅助检查,exact,1.0
头孢呋辛酯,头孢呋辛酯,exact,1.0
prulifloxacin,prulifloxacin,exact,1.0
洛博芽生菌病,洛博芽生菌病,exact,1.0
肺念珠菌病,肺念珠菌病,exact,1.0
红霉素,红霉素,exact,1.0
宫内感染,宫内感染,exact,1.0
失眠,失眠,exact,1.0
thiabendazole,thiabendazole,exact,1.0
气管受压,气管受压,exact,1.0
对症支持治疗,对症支持治疗,exact,1.0
gbs,gbs,exact,1.0
磺苄西林,磺苄西林,exact,1.0
呼吸道阻塞,呼吸道阻塞,exact,1.0
依米丁,依米丁,exact,1.0
氟康唑,氟康唑,exact,1.0
cedax,cedax,exact,1.0
结核接触史,结核接触史,exact,1.0
imipenem,imipenem,exact,1.0
会厌炎,会厌炎,exact,1.0
common cold,common cold,exact,1.0
血糖,血糖,exact,1.0
血管扩张,血管扩张,exact,1.0
氧饱和度,氧饱和度,exact,1.0
cystic fibrosis,cystic fibrosis,exact,1.0
hamartoma,hamartoma,exact,1.0
葡萄球菌,葡萄球菌,exact,1.0
鼻炎,鼻炎,exact,1.0
多巴胺,多巴胺,exact,1.0
地丝菌病,地丝菌病,exact,1.0
剂量,剂量,exact,1.0
慢性肺芽生菌病,慢性肺芽生菌病,exact,1.0
抑郁,抑郁,exact,1.0
脑膜炎,脑膜炎,exact,1.0
cefpirome,cefpirome,exact,1.0
禽流感,禽流感,exact,1.0
母乳喂养,母乳喂养,exact,1.0
病因治疗,病因治疗,exact,1.0
水,水,exact,1.0
呼吸,呼吸,exact,1.0
慢性鼻炎,慢性鼻炎,exact,1.0
育龄妇女,育龄妇女,exact,1.0
神经炎,神经炎,exact,1.0
甲型h1n1流感,甲型h1n1流感,exact,1.0
头孢噻利,头孢噻利,exact,1.0
疲乏,疲乏,exact,1.0
中毒,中毒,exact,1.0
肝,肝,exact,1.0
结核菌素皮肤试验,结核菌素皮肤试验,exact,1.0
瘫痪,瘫痪,exact,1.0
葡萄糖注射液,葡萄糖注射液,exact,1.0
支气管胸膜瘘,支气管胸膜瘘,exact,1.0
假丝酵母菌,假丝酵母菌,exact,1.0
下叶,下叶,exact,1.0
膦甲酸钠,威立克,llm,0.8
nocardiosis,nocardiosis,exact,1.0
chest pain,胸骨后不适或胸前疼痛,llm,0.9
肿瘤标志物,肿瘤标志物,exact,1.0
隐球菌病,隐球菌病,exact,1.0
大环内酯类,大环内酯类,exact,1.0
琥乙红霉素,琥乙红霉素,exact,1.0
激素,激素,exact,1.0
氢化可的松,氢化可的松,exact,1.0
惊厥,惊厥,exact,1.0
克雷伯菌属,克雷伯菌属,exact,1.0
老年肺炎,老年肺炎,exact,1.0
土霉素,土霉素,exact,1.0
氯法齐明,氯法齐明,exact,1.0
局部疼痛,局部疼痛,exact,1.0
纵隔纤维化,纵隔纤维化,exact,1.0
阿莫西林/克拉维酸,阿莫西林/克拉维酸,exact,1.0
视物模糊,视物模糊,exact,1.0
恶心,恶心,exact,1.0
体质下降,体质下降,exact,1.0
广谱抗生素,广谱抗生素,exact,1.0
静脉炎,静脉炎,exact,1.0
胸腔内,胸腔内,exact,1.0
非洲组织胞浆菌病,非洲组织胞浆菌病,exact,1.0
压痛,压痛,exact,1.0
声带白斑,声带白斑,exact,1.0
饮酒,饮酒,exact,1.0
cefodizime,cefodizime,exact,1.0
定向障碍,定向障碍,exact,1.0
新生儿肺透明膜病,新生儿肺透明膜病,exact,1.0
激动,激动,exact,1.0
immunotherapy,immunotherapy,exact,1.0
全血细胞计数,全血细胞计数,exact,1.0
克林霉素,克林霉素,exact,1.0
胸外科,胸外科,exact,1.0
厄他培南,厄他培南,exact,1.0
黏膜炎,黏膜炎,exact,1.0
血沉,血沉,exact,1.0
pneumothorax,pneumothorax,exact,1.0
cefonicid,cefonicid,exact,1.0
眩晕,眩晕,exact,1.0
ast,ast,exact,1.0
125mg,125mg,exact,1.0
胸痛,胸痛,exact,1.0
心包炎,心包炎,exact,1.0
伯氨喹,伯氨喹,exact,1.0
肺炎衣原体感染,肺炎衣原体感染,exact,1.0
消化道,消化道,exact,1.0
ceftibuten,ceftibuten,exact,1.0
穿孔,穿孔,exact,1.0
空鼻综合征,空鼻综合征,exact,1.0
ecmo,ecmo,exact,1.0
中性粒细胞缺乏,中性粒细胞缺乏,exact,1.0
阿糖腺苷,阿糖腺苷,exact,1.0
戴口罩,戴口罩,exact,1.0
ceforanide,ceforanide,exact,1.0
慢性纵隔炎,慢性纵隔炎,exact,1.0
听力减退,听力减退,exact,1.0
喘息,喘息,exact,1.0
播散性隐球菌病,播散性隐球菌病,exact,1.0
鼻咽,鼻咽,exact,1.0
禽流感病毒,禽流感病毒,exact,1.0
pert,pert,exact,1.0
支气管囊肿,支气管囊肿,exact,1.0
过敏性哮喘,过敏性哮喘,exact,1.0
免疫受损患者,免疫受损患者,exact,1.0
甲氧西林,甲氧西林,exact,1.0
匹美西林,匹美西林,exact,1.0
免疫功能受损,免疫功能受损,exact,1.0
长春花碱,长春花碱,exact,1.0
嗜肺军团菌,嗜肺军团菌,exact,1.0
病毒性上呼吸道感染,病毒性上呼吸道感染,exact,1.0
非血栓性肺栓塞,非血栓性肺栓塞,exact,1.0
青霉素v钾片,青霉素v钾片,exact,1.0
呼吸内科,呼吸内科,exact,1.0
感觉异常,感觉异常,exact,1.0
paracoccidioides brasiliensis,paracoccidioides brasiliensis,exact,1.0
感染性肺栓塞,感染性肺栓塞,exact,1.0
利多卡因,利多卡因,exact,1.0
vibramycin,vibramycin,exact,1.0
荨麻疹,荨麻疹,exact,1.0
肾功能衰竭,肾功能衰竭,exact,1.0
tobramycin,tobramycin,exact,1.0
切除,切除,exact,1.0
普外科,普外科,exact,1.0
流感疫苗,流感疫苗,exact,1.0
深静脉血栓形成,深静脉血栓形成,exact,1.0
巨细胞病毒病,巨细胞病毒病,exact,1.0
黑便,黑便,exact,1.0
腹膜后淋巴结,腹膜后淋巴结,exact,1.0
咪康唑,咪康唑,exact,1.0
